original_smiles,radical_smiles,I,A,philicity,predicted_philicity
C1=CC=C(C(=C1)CCN)Br,c1ccc(c(c1)C[CH]N)Br,6.208554536872249,-1.4744139207301454,0.3646391283701889,0.36206385262203833
C1CC1C2=NC=C(O2)CCl,[CH]1C[C@H]1c1ncc(o1)CCl,9.028764107157189,0.3744317096595799,1.277107342141246,1.2782760407444163
C1CC(C1)C2=CC(=NN2)N,C1C[C](C1)c1cc(n[nH]1)N,7.814229009894939,0.0744405741323737,1.005051822838138,1.0766465881517888
CCC1=NC=C(C(=C1)C)N,CCc1ncc(c(c1)[CH2])N,7.503137711370979,1.1449085280680071,1.4703131485861205,1.4585253112120096
C1CC(C1)C2=CC(=NN2)N,C1C[C@@H]([CH]1)c1cc(n[nH]1)N,8.045244838228516,-0.0073390412215263,1.0029068086834234,0.9965081967924833
C1CC1C2=NC=C(O2)CCl,C1C[C]1c1ncc(o1)CCl,9.085954940372192,0.9269377093273568,1.5360002371506254,1.5267721206075608
C1CC(C1)C2=CC(=NN2)N,C1[CH][C@@H](C1)c1cc(n[nH]1)N,8.025821826060442,-0.0209598098339975,0.9953950970440114,0.988166198533851
C1=CC=C(C(=C1)CCN)Br,C1=[C]C=C(C(=C1)CCN)Br,9.467644366393133,1.1447998615733013,1.691488595432675,1.691648548269549
C1CC1C2=NC=C(O2)CCl,C1CC1c1ncc(o1)[CH]Cl,7.297337911538585,0.9104942515527726,1.3185016027468135,1.3273799097357932
C1=CC=C(C(=C1)CCN)Br,[C]1=CC=C(C(=C1)CCN)Br,9.43419717731541,1.0187629651380168,1.622975906305747,1.6109804370497014
C1=CC=C(C(=C1)CCN)Br,C1=CC=C(C(=[C]1)CCN)Br,9.31351430067685,1.2066172127993011,1.7064662018826915,1.6893937805323087
C1=CC=C(C(=C1)CCN)Br,C1=C[C]=C(C(=C1)CCN)Br,9.527694146083094,1.3304839779624746,1.7978682648643858,1.7790901090079783
CCC1=NC=C(C(=C1)C)N,CCC1=NC=C(C(=[C]1)C)N,8.871742859878768,0.9157583098351316,1.5050805237333191,1.4874188949850389
C#CCOCC(=O)N,C#C[CH]OCC(=O)N,8.110327836779739,0.5435729769207088,1.237155172203512,1.243220303411917
CC1=C(C=CC(=C1)O)N,CC1=[C]C(=CC=C1N)O,8.992587853330951,0.8090528257367886,1.467461183913929,1.5107711169207294
C#CCOCC(=O)N,C#CCO[CH]C(=O)N,8.69162673063377,0.7623113900986848,1.4089637968762976,1.3581780180560048
CC1=CN=C(C=N1)CC=C,[CH2]c1cnc(cn1)CC=C,7.885412864926018,1.33464322823456,1.6221268468380017,1.654034708627178
C1CC1C2=NC=C(O2)CCl,C1CC1C1=N[C]=C(O1)CCl,10.301662266841536,1.487085612391121,1.9708061715298777,1.9528306950700642
C1CC1[C@@H]2C[C@H]2C=O,C1C[C]1[C@@H]1C[C@H]1C=O,8.544241597357678,0.4563782598776489,1.2520481991678267,1.246304218956681
COC(=O)C1(CC1)C(=O)O,[CH2]OC(=O)C1(CC1)C(=O)O,9.031598164317506,0.4907475407685244,1.3270789954626927,1.0560870605351973
COC(=O)C1(CC1)C(=O)O,COC(=O)[C@@]1([CH]C1)C(=O)O,9.456235870859125,0.8958480894145093,1.5648479522277816,1.5448093754392809
C1CC1[C@@H]2C[C@H]2C=O,C1CC1[C]1C[C@H]1C=O,8.680938209369112,0.7866143189297623,1.41928796119977,1.4268311870022121
C1CC1[C@@H]2C[C@H]2C=O,[CH]1C[C@H]1[C@@H]1C[C@H]1C=O,8.726627465096188,0.2196771746676299,1.1760437638490595,1.1722676412445563
CC1=CN=C(C=N1)CC=C,CC1=[C]N=C(C=N1)CC=C,8.586516769069238,0.59781066114095,1.3198612704878043,1.3023460957052222
C1CC1[C@@H]2C[C@H]2C=O,C1CC1[C@@H]1C[C@H]1[C]=O,8.23484082120834,-0.2123628031103261,0.9523884532269846,0.9545871788725961
COC(=O)C1(CC1)C(=O)O,COC(=O)[C@@]1(C[CH]1)C(=O)O,9.457614665857731,0.8890264921748943,1.5617068571152168,1.540598366240629
C1CC1[C@@H]2C[C@H]2C=O,C1[CH][C@H]1[C@@H]1C[C@H]1C=O,8.891690496818068,0.3332876991380037,1.242933768245477,1.206223382354342
C1CC1[C@@H]2C[C@H]2C=O,C1CC1[C@@H]1[CH][C@H]1C=O,9.099473765665032,0.8853661576155503,1.517161587276974,1.5280853060370385
