smiles,atom_y,split,radical_type
O=C=NC[C@H]1[CH]CCC1,"['nan', 'nan', 'nan', 'nan', 'nan', 0.6680056085613999, 'nan', 'nan', 'nan']",train,carbon
O=C1[CH]C(=C(Cl)Cl)C(=O)N1,"['nan', 'nan', 1.2351213162582884, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2][C@@H](N)CC(C)=O,"[0.733366928288697, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
O=c1[nH]cnc2c[c]oc12,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 1.2257101303225248, 'nan', 'nan']",train,carbon
C[C](N)CC(C)=O,"['nan', 0.3780806973137399, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]C(=O)C[C@@H](C)N,"[1.1247151315681438, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CC(=O)[CH][C@@H](C)N,"['nan', 'nan', 'nan', 1.0489174358319482, 'nan', 'nan', 'nan']",train,carbon
[CH2]C[C@@H](N)C(F)(F)F,"[0.6631923135885213, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C[CH][C@@H](N)C(F)(F)F,"['nan', 0.7002841022582638, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CC[C](N)C(F)(F)F,"['nan', 'nan', 0.5577492283873537, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]COC(=O)[C@H](C)NC=O,"[0.8000603060332364, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C[CH]n1cccc(N)c1=O,"['nan', 0.7159857611536152, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2][C@H](NC=O)C(=O)OCC,"[0.7680659168863725, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CCOC(=O)[C@H](C)N[C]=O,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.6999498916288639, 'nan']",train,carbon
[CH2]SN[C@@H](CS)C(=O)O,"[0.5973361238125852, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C[CH]OC(=O)[C@H](C)NC=O,"['nan', 0.7036217820890446, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]Cn1cccc(N)c1=O,"[0.7117176257531082, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CCOC(=O)[C](C)NC=O,"['nan', 'nan', 'nan', 'nan', 'nan', 0.8824456871264362, 'nan', 'nan', 'nan', 'nan']",train,carbon
CSN[C@@H]([CH]S)C(=O)O,"['nan', 'nan', 'nan', 'nan', 0.715634232295987, 'nan', 'nan', 'nan', 'nan']",train,carbon
CSN[C](CS)C(=O)O,"['nan', 'nan', 'nan', 0.8451833094591432, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]c1ncc(CN)n1C,"[0.7532185008799926, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CCn1[c]ccc(N)c1=O,"['nan', 'nan', 'nan', 1.0465633553782856, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CCn1cc[c]c(N)c1=O,"['nan', 'nan', 'nan', 'nan', 'nan', 0.9466070065772223, 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]n1c(CN)cnc1C,"[0.6853712099236576, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CCn1c[c]cc(N)c1=O,"['nan', 'nan', 'nan', 'nan', 0.9629552619698745, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1ncc([CH]N)n1C,"['nan', 'nan', 'nan', 'nan', 'nan', 0.47867518678593923, 'nan', 'nan', 'nan']",train,carbon
[CH2]C1=CO[C@@](C)(C=O)CC1,"[0.6346011624416639, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CC1=CO[C@@](C)(C=O)C[CH]1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.6629501069502112]",train,carbon
Cc1n[c]c(CN)n1C,"['nan', 'nan', 'nan', 0.8538474270406693, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]O[C@](CCl)(CBr)OC,"[0.5404918665829379, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]O[C@@](CCl)(CBr)OC,"[0.5698628435031597, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CC1=CO[C@@](C)(C=O)[CH]C1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.770156769028761, 'nan']",train,carbon
CC(=O)/C(=[C]\S)NN,"['nan', 'nan', 'nan', 'nan', 0.9730707348711365, 'nan', 'nan', 'nan']",train,carbon
COC([CH]Cl)(CBr)OC,"['nan', 'nan', 'nan', 0.8186313513868179, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CC1=[C]O[C@@](C)(C=O)CC1,"['nan', 'nan', 0.8792804639713426, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
COC([CH]Br)(CCl)OC,"['nan', 'nan', 'nan', 0.8449901055099871, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]C(=O)/C(=C\S)NN,"[1.1713620227927923, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2][C@]1(C=O)CCC(C)=CO1,"[0.8091516140014103, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CC1=CO[C@@](C)([C]=O)CC1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.6929876493191398, 'nan', 'nan', 'nan']",train,carbon
C[C](O)[C@H](NN)C(=O)S,"['nan', 0.5380487674998855, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
